price,bedrooms,bathrooms,condition,grade,sqft_living,sqft_lot,yr_built,waterfront
301000,3,2.5,3,8,2690,4750,2003,0
951000,5,3.25,4,8,2960,11044,1968,0
430000,4,3,3,8,2270,8542,1991,0
650000,3,2.25,4,8,2570,18900,1959,0
289000,3,1.75,3,7,1290,8750,1954,0
505000,3,1.75,5,8,2500,9500,1973,0
549000,3,1.75,3,8,1580,3090,2014,0
425000,3,2.25,3,7,1440,4080,1979,0
317625,3,2.75,5,7,1440,4000,1925,0
975000,4,2.5,3,10,2750,11049,1989,0
287000,4,2.5,3,7,2221,4557,2005,0
204000,3,1,4,7,1010,12635,1968,0
1.33E+06,5,2.25,3,8,3390,20158,1965,0
1.04E+06,5,3.25,4,11,3530,38917,1973,0
325000,3,2,4,7,1640,4745,1972,0
571000,4,2,5,7,1510,7807,1916,0
360000,4,2.5,3,8,2420,5000,2005,0
349000,3,1.75,5,7,1940,50529,1965,0
832500,4,4,4,10,3240,35020,1986,0
380000,4,1.75,3,7,1680,7500,1956,0
480000,3,1,3,7,890,5060,1941,0
410000,3,1,4,7,1130,5693,1956,0
720000,4,2.5,3,10,3350,39750,2002,0
390000,3,2.5,3,8,2350,5363,2003,0
360000,4,2.5,3,7,1870,6405,1992,0
355000,2,1,3,7,1720,6720,1948,0
356000,3,1.5,3,8,1850,8797,1964,0
315000,3,1,3,6,1570,7203,1952,0
940000,3,1.5,3,9,2020,4800,1925,0
305000,5,2.25,5,7,1590,8165,1961,0
461000,3,3.25,3,9,1900,7349,2006,0
215000,2,2.25,4,7,1950,2025,1979,0
335000,2,1.75,3,7,1030,1106,2006,0
243500,4,2.5,3,7,1980,7510,1988,0
1.10E+06,5,2.75,4,10,2520,6250,2001,0
153000,3,1,3,7,1350,10500,1962,0
430000,3,1.5,3,8,1570,4500,1939,0
700000,3,1.5,3,8,1570,4500,1939,0
905000,4,2.5,3,7,1950,6045,1946,0
247500,3,1.75,3,7,1750,15616,1967,0
199000,4,1.5,4,7,1160,6400,1975,0
314000,3,1.75,5,7,1650,135036,1980,0
437500,3,2.5,3,9,2550,35065,1992,0
850830,3,2.5,5,9,2200,4500,1910,0
555000,3,2,4,7,1610,3478,1929,0
699950,3,2.25,4,8,2570,47777,1983,0
1.09E+06,3,2.5,3,8,2370,8113,1950,0
290000,3,1,3,7,1640,14910,1954,0
375000,3,2.5,4,8,2250,8162,1978,0
460000,3,1,4,7,1240,4005,1939,0
188500,2,1.75,4,8,1270,4966,1985,0
680000,4,2.5,4,10,2990,35001,1991,0
470000,5,1.75,4,7,2500,9433,1942,0
597750,4,2.5,3,8,1940,9636,1984,0
570000,3,1.75,5,6,1380,3536,1905,0
272500,3,1.75,4,7,1540,11656,1980,0
329950,3,1.75,3,7,2090,5500,1971,0
480000,4,2.5,3,9,2640,8517,2001,0
740500,3,3.5,3,8,1830,6350,1900,0
518500,3,3.5,3,8,1620,3166,2010,0
205425,2,1,4,6,1190,6780,1945,0
171800,4,2,3,6,1880,9000,1950,0
535000,4,1,4,7,1610,4040,1925,0
660000,3,2.5,3,8,2340,10856,1964,0
391500,3,2,3,7,1580,9104,1987,0
395000,2,1,3,6,1710,6000,1953,0
445000,4,1.75,5,7,1850,4400,1924,0
770000,3,2.25,3,9,2700,13992,1990,0
1.45E+06,4,2.75,3,8,3060,11275,1914,0
445000,3,2.25,3,8,2660,8712,1967,0
260000,4,2.25,3,8,2090,8400,1978,0
822500,5,3.5,5,7,1700,4960,1926,0
430000,4,2.5,3,7,1970,3748,2004,0
212000,3,1.75,4,7,1420,7680,1986,0
660500,4,2.25,3,8,2060,9793,1986,0
784000,3,3.5,3,9,2480,88500,1989,0
453246,3,2.5,3,8,1690,1662,2014,0
675000,4,3.5,3,9,1540,2285,2005,0
199000,3,1.75,4,7,1550,19265,1956,0
220000,4,1.75,3,7,1750,8140,1968,0
452000,4,2.25,4,8,1550,10436,1968,0
382500,2,1,3,6,1060,5715,1981,0
519950,3,2.25,3,8,1350,1310,2014,0
665000,2,1,3,7,1170,3600,1925,0
527700,5,2.5,4,8,2820,9375,1968,0
205000,3,1,4,7,1610,8579,1962,0
420000,3,1,4,7,1560,7940,1923,0
500000,4,2.25,4,8,2230,8824,1961,0
921500,4,2.5,4,9,2840,87991,1994,0
890000,4,1,3,8,2200,4000,1905,0
430000,2,2.5,3,7,1940,193842,2007,0
258000,5,2,4,8,1360,18000,1960,0
511000,3,1,3,7,1450,4599,1947,0
532170,3,2,3,8,1500,3090,1990,0
560000,3,1,3,7,1420,5000,1947,0
282950,3,1,4,7,1680,8633,1954,0
2.25E+06,4,3.25,3,12,3160,9750,2006,0
350000,1,1,3,7,1010,5100,1942,0
215000,3,1,4,7,1190,7669,1967,0
650000,5,3.5,3,9,2640,13675,1996,0
320000,4,2.75,3,8,1980,7875,1967,0
247000,3,2,3,7,1160,7198,1916,0
320000,4,1.75,4,8,1730,11180,1968,0
255000,5,2.25,3,7,1010,11680,1962,0
438000,3,1.75,3,7,1200,9660,1962,0
900000,3,2.5,3,10,3400,12601,2000,0
441000,3,2.75,3,7,1710,8152,1979,0
420000,3,2,4,7,2110,36590,1975,0
370000,3,1.75,3,7,1640,7500,1976,0
269950,2,1.75,5,5,1830,9750,1949,0
807100,4,2.5,3,9,2920,4500,1999,0
653000,3,2.5,4,8,2480,8750,1979,0
371500,3,2,5,7,1770,7288,1964,0
284000,3,1.75,3,7,1070,7920,1954,0
272000,3,1.75,4,7,1930,7350,1978,0
313000,3,1.5,3,7,1480,7940,1955,0
917500,4,2.5,3,10,3740,35230,1984,0
673000,4,2.25,4,8,2260,8335,1980,0
425000,3,2.5,3,8,1590,1795,2008,0
399950,5,2.75,3,7,1280,2150,1986,0
385000,3,1,3,6,1200,4800,1901,0
269950,3,1.5,4,7,1950,8941,1975,0
330000,2,1,3,7,1540,8280,1949,0
260000,3,2.5,3,7,1670,6183,1988,0
470000,4,3,4,7,1410,5375,1925,0
589000,4,3,5,7,2290,9600,1961,0
163500,2,1.5,3,7,1050,3417,1996,0
835000,4,2.75,3,9,2260,9984,1993,0
1.10E+06,5,3,4,10,2540,10270,1986,0
269000,4,1.75,4,8,2190,8910,1969,0
560000,3,2.5,3,8,2030,8744,1987,0
615000,4,1,4,6,1330,4400,1901,0
585188,3,2.25,3,8,2230,9340,1975,0
305000,3,1.75,3,7,1540,8400,1977,0
166950,3,1,3,6,1230,7980,1959,0
799000,3,2.5,4,8,2680,10083,1959,0
400000,3,2.5,4,7,1900,7818,1962,0
230000,3,1,3,7,1570,10228,1948,0
256883,3,2.5,3,8,2550,5001,2003,0
423000,4,2,5,7,1500,6480,1920,0
465000,3,2.5,3,8,1750,2385,2007,0
440000,3,2.5,3,7,2330,67268,1997,0
385000,3,1.75,4,7,1560,50965,1969,0
210000,3,1,4,6,1300,9514,1943,0
297000,3,2.5,3,8,2030,10450,1994,0
470000,3,1,3,7,1680,5000,1952,0
226500,3,1.5,4,7,1430,7500,1976,0
274250,3,1,4,6,1400,8040,1962,0
840000,4,1.75,4,9,2770,10744,1966,0
677900,3,2.5,3,8,2750,4587,2010,0
425000,3,1,3,7,1290,5000,1915,0
180250,2,0.75,3,6,1250,14280,1941,0
464000,6,3,3,7,1560,1312,1920,0
320000,4,2.25,3,8,1630,6397,1993,0
625504,3,2.25,3,8,1160,1327,2014,0
592500,4,2.5,3,9,2520,12368,1983,0
465000,3,2.5,3,9,2590,18386,2005,0
477000,4,2.75,3,8,2130,8700,1978,0
280000,2,1,3,6,1100,14459,1923,0
1.51E+06,5,3,3,9,3836,20953,1957,0
445838,3,2.5,3,8,1320,5390,2000,0
1.07E+06,2,2.25,3,8,2580,5184,1947,0
467000,2,1.5,4,8,2120,12040,1947,0
686000,4,2.5,3,10,3070,8127,1999,0
279950,3,2,3,7,1900,10125,1961,0
527000,4,2.25,3,8,1910,10055,1987,0
325000,3,2.25,4,8,2080,9583,1966,0
328000,3,2.25,3,7,2020,8031,1994,0
390000,3,2.25,5,7,1280,7392,1942,0
479950,2,2,3,8,1640,6009,2005,0
264950,4,2.25,4,7,1510,9753,1978,0
235000,3,1,4,7,1960,13068,1961,0
516500,3,2.5,3,7,2250,4729,2004,0
655000,2,1.75,3,7,2030,13193,1915,1
500000,4,2.75,5,7,2280,15347,1960,0
315000,6,2.75,3,8,2120,8236,1978,0
213000,2,1,3,6,1150,13702,1961,0
475000,3,1.5,5,7,2090,4800,1947,0
1.03E+06,5,4,3,10,3430,35096,1983,0
416000,3,2,5,7,2070,80100,1976,0
410000,4,1,3,7,1510,4740,1904,0
800000,3,3.5,3,10,2920,148539,1993,0
472000,6,2.5,4,9,2600,13988,1965,0
225000,3,1.75,4,7,1190,8640,1968,0
210000,2,1,3,6,830,4960,1940,0
455000,2,1,2,7,1450,3750,1925,0
225000,3,1,4,6,1260,8316,1954,0
480000,2,1,4,7,1390,3060,1918,0
363000,3,2.5,3,9,2570,10377,1990,0
2.40E+06,4,2.5,3,9,3120,18841,2000,1
181000,2,1.5,3,6,1150,2566,1954,0
250000,4,2,4,7,2010,7650,1976,0
481000,3,1.75,4,6,1390,3000,1918,0
260000,3,2,4,7,1750,7209,1978,0
455000,4,2.5,3,9,3060,6567,2001,0
415000,3,2.25,3,8,1730,36224,1991,0
349500,3,1,3,7,1620,6331,1953,0
245000,3,2.5,3,7,1630,6458,1987,0
592500,2,2,5,7,1420,6816,1928,0
385000,4,1.75,4,7,1910,7620,1955,0
315000,3,1.75,4,7,1550,10650,1974,0
255000,3,1,3,7,1380,10098,1979,0
693000,4,2.5,3,8,2990,5659,2006,0
780000,3,1,3,8,1660,4400,1911,0
237000,3,1.75,4,7,1600,8470,1960,0
525000,3,2.25,3,10,2380,33450,1979,0
425000,2,1,3,5,1330,2580,1930,0
369900,1,0.75,5,5,1230,14267,1936,1
290000,4,2.5,4,7,1950,7475,1988,0
285000,3,1,3,7,1130,6350,1954,0
415000,2,1,3,7,1320,4465,1937,0
272500,3,2.5,3,8,2070,8250,1979,0
2.90E+06,4,3.25,3,11,3890,20060,1982,0
1.37E+06,4,4.75,4,11,4180,47443,1989,0
436000,2,1,4,7,1440,7530,1939,0
210000,3,1,4,7,1350,8164,1967,0
236000,3,1,3,7,1320,7619,1961,0
331000,3,1.75,3,7,1440,2225,1954,0
365000,3,2.5,3,8,2653,4927,2006,0
450000,3,2,5,8,1660,10530,1960,0
770000,4,2.75,3,9,1860,12136,2014,0
455000,4,2.5,3,8,2670,49385,1997,0
405000,3,1.75,3,6,2020,6000,1908,0
304900,4,1.75,4,7,1720,11088,1969,0
170000,2,1,3,6,1650,8775,1931,0
2.05E+06,5,3,5,9,3050,7556,1905,0
780000,4,2.5,3,9,3920,7864,2005,0
330000,3,3,4,8,2570,13300,1988,0
370000,4,2.5,3,9,2410,8100,1992,0
467000,5,2.25,3,7,2300,9750,1979,0
405000,3,1.75,3,7,1670,7320,1980,0
675000,5,2.25,3,8,2310,10300,1985,0
500000,2,1,4,7,1520,13527,1954,0
389999,4,2.5,4,7,2410,15256,1968,0
630000,4,1.75,4,8,2120,9600,1975,0
360000,4,2.5,3,9,2280,9937,1992,0
580000,4,3,3,8,2320,11004,1986,0
550000,3,2,5,8,2390,4166,1929,0
879000,4,2.5,3,10,3150,11374,1994,0
265000,3,2,3,7,1740,7316,1993,0
446500,3,2.5,3,8,2400,7220,1990,0
404000,3,1.5,3,7,2140,5592,1963,0
267500,3,1.75,3,7,1630,9052,1957,0
3.08E+06,4,5,3,10,4550,19508,2002,1
335000,3,2.5,3,8,2510,7903,1998,0
576000,3,2.5,4,7,2190,7310,1948,0
208633,3,2.5,3,8,2370,4590,2006,0
315000,3,2.25,4,7,1460,10139,1964,0
725000,3,1.75,4,8,1740,4000,1913,0
550000,4,2.75,4,8,1800,8275,1965,0
610750,4,2.25,3,8,2250,9781,1984,0
550700,2,1,4,6,1460,5000,1908,0
665000,4,2.75,5,8,2720,8330,1960,0
834000,4,2.5,5,8,2440,5750,1928,0
201000,5,1.75,3,6,1660,78408,1915,0
2.38E+06,5,2.5,5,10,2880,5400,1921,0
1.38E+06,4,3.25,3,11,3860,11244,1997,0
1.40E+06,4,3.25,3,11,3860,11244,1997,0
305000,4,2.25,3,8,2150,7350,1979,0
487000,3,2,5,8,1570,8162,1948,0
390000,3,2.5,4,8,2350,57500,1988,0
548000,2,1,4,7,1570,3864,1916,0
268750,4,1,3,6,1310,8775,1943,0
819900,5,2.75,3,9,1560,8384,2013,0
520000,3,2.25,3,8,2660,17958,1984,0
230000,3,2,3,7,1520,9518,2003,0
240000,3,1.75,3,7,1510,9753,1969,0
232000,2,1,3,6,1820,7460,1922,0
240500,2,1,3,6,1820,7460,1922,0
274975,3,2.5,3,9,3080,35781,1987,0
740000,4,2,4,9,2320,5500,1922,0
186375,3,1,2,7,1150,7600,1952,0
790000,3,2.25,4,9,2500,10004,1977,0
880000,4,3.5,3,9,2370,6120,1951,0
279000,6,1.75,4,7,1590,7955,1955,0
295000,3,2,3,8,1910,10450,1991,0
640000,2,1,3,7,1710,5000,1924,0
940000,4,2,5,9,2770,9525,1968,0
260000,4,2.5,3,7,1800,5894,2003,0
559900,3,2.75,3,9,2580,11045,2004,0
791500,4,2,5,7,1820,3750,1911,0
265000,3,1.75,3,7,1740,8000,1954,0
245000,3,1.75,3,7,880,78408,1954,0
485000,4,1.75,4,7,2560,14764,1962,0
684000,4,3.5,3,9,3470,8066,2010,0
425000,3,1.75,3,8,1580,8691,1957,0
309600,4,1.75,4,6,1660,20000,1991,0
552250,4,2.5,3,8,2380,5823,2002,0
165000,4,1,3,6,1020,7138,1943,0
239900,4,1,3,6,1020,7138,1943,0
320000,2,1,4,6,1360,32156,1930,0
206600,3,2,4,7,1720,12080,1987,0
387000,4,1.75,3,7,2040,8646,1973,0
299000,1,0.75,3,4,1300,19207,1967,0
855000,4,2.75,3,9,2610,10180,1965,0
315000,3,1,4,7,1940,14400,1954,0
437500,2,1,5,7,1930,3120,1907,0
252000,4,1.5,4,7,1640,22654,1969,0
375000,4,1.75,5,7,1600,5766,1955,0
300000,4,2.5,3,7,2010,5091,2005,0
420000,4,1,4,7,1750,10530,1954,0
900000,3,1,3,7,1340,17689,1928,0
679900,3,2.5,3,9,1520,5750,2000,0
463000,3,2.5,3,7,1580,28399,1992,0
380000,5,2.5,4,9,2470,11340,1978,0
329500,4,2.5,3,7,1820,8168,1994,0
604950,3,2.5,3,8,2040,9363,2013,0
795000,5,2.5,4,8,2920,8800,1966,0
465000,3,2,3,7,1380,44049,1994,0
673000,4,2.5,3,9,2140,17449,2002,0
810000,4,2.5,3,10,3400,21455,1991,0
785000,4,2.75,4,8,2770,24361,1989,0
338000,4,3,3,7,1810,7650,1986,0
280000,3,2.25,3,7,1430,7220,1993,0
315000,4,2.25,5,7,1810,6929,1954,0
530000,4,2.25,5,7,1810,6929,1954,0
380000,5,3,3,9,2860,9721,2004,0
297000,3,2.25,3,7,1650,7625,1994,0
730000,4,2.5,3,10,3480,7447,2004,0
450000,3,1.75,3,7,1770,12600,1940,0
275000,3,3,3,7,1680,7500,1997,0
595000,4,2,3,7,1910,3120,1960,0
435000,3,1.5,3,7,1590,2577,1904,0
270000,2,1.5,1,6,3130,19868,1954,0
950000,3,3,3,10,3360,14142,1986,0
389000,4,2.25,3,7,2300,6930,2001,0
560000,4,2.25,3,8,2420,8050,1968,0
1.35E+06,5,3.5,3,11,4050,19009,1998,0
799000,4,2.25,4,8,2450,9691,1969,0
365500,3,2,4,7,1410,9600,1983,0
252350,3,2,3,7,1710,7350,1979,0
403950,4,2.5,3,8,1880,12000,1993,0
385000,4,1.5,3,7,1610,10020,1954,0
345000,4,1,3,7,1450,7620,1957,0
490000,3,2.75,4,9,1950,2856,1979,0
330000,3,2.5,3,8,1790,27743,2005,0
927000,4,2.75,3,8,3180,12239,1953,0
1.12E+06,4,2.5,4,10,3600,16553,1983,0
330000,2,1,5,7,2000,9600,1950,0
530000,5,2.25,4,7,2110,8800,1958,0
365000,4,2,1,8,2000,10071,1962,0
378750,3,2.5,3,7,1060,3500,1909,0
269900,4,1.75,4,7,1390,8750,1968,0
557000,3,3.5,3,8,1630,1543,2008,0
360000,4,1.75,4,7,1880,16963,1974,0
352000,2,1,4,7,1560,4500,1937,0
437000,3,2.5,3,8,2430,22357,1994,0
322500,4,2.5,3,7,1820,7107,1994,0
650000,3,3.25,3,9,1510,1352,2001,0
450000,3,2,3,8,1290,3235,2001,0
278500,3,2,3,7,1570,5250,1998,0
364950,4,2.5,3,8,2090,6996,1995,0
840000,4,3.5,4,10,3180,36852,1986,0
268000,3,2.5,3,7,1550,8134,1991,0
517534,2,1,3,5,1380,143947,2006,0
632925,3,2.5,4,8,2990,36497,1978,0
577500,3,2.5,3,9,2450,8118,1995,0
339000,4,1.5,3,7,2850,6867,1920,0
570000,3,1.75,4,7,2520,18295,1967,0
563500,4,1.75,3,7,2690,174240,1964,0
423000,4,2.25,5,7,1910,8660,1962,0
355000,3,2.25,3,8,2320,5465,2012,0
1.55E+06,5,4.25,3,12,4680,211267,1999,0
482000,2,1,3,7,1320,4050,1941,0
625000,3,1.75,5,7,1580,9800,1955,0
538000,3,2.5,3,8,2360,11632,1988,0
380000,3,2.5,4,8,2310,10094,1985,0
375000,2,1,3,7,1300,5120,1909,0
245000,3,2.5,5,7,1850,8140,1996,0
310000,5,1.75,4,7,1620,39480,1947,0
1.30E+06,3,2,4,8,3530,15715,1976,0
397000,4,2,3,7,1460,9660,1971,0
365000,3,2.5,3,8,2310,5082,2005,0
328500,4,3,3,9,2290,8250,1990,0
988000,4,3,3,11,3930,21887,1987,0
1.00E+06,4,2.5,5,8,1810,3277,1922,0
237000,3,2.5,3,7,1490,2094,2005,0
525000,4,2.5,3,8,2300,4674,2003,0
749000,4,2.5,3,9,2140,9131,1976,0
722500,5,2.5,3,10,3180,11398,1983,0
843000,3,2.5,3,10,2860,9003,1991,0
438000,2,2,3,8,1610,3090,2000,0
578000,3,1.75,3,8,2460,11760,1977,0
227950,3,1.5,5,7,2077,4910,1954,0
196000,3,2.25,3,7,1890,7519,1974,0
641000,2,1,3,8,2400,5406,1953,0
350000,3,1.5,4,6,1930,210394,1980,0
205000,3,1,4,7,1150,8050,1960,0
400000,3,1.75,3,7,1920,9760,1968,0
1.03E+06,3,2.5,3,10,3630,7704,2005,0
505000,3,2,3,7,1510,5460,1972,0
475000,5,2.5,3,7,1930,7221,1975,0
520000,3,2.25,5,8,2580,9450,1977,0
1.45E+06,3,4.5,3,10,2610,13838,1977,0
333500,3,1.75,3,7,1630,10007,1965,0
232000,3,1,4,6,1230,10209,1976,0
691100,3,2.75,4,8,2120,16117,1983,0
811000,3,1.75,4,8,1900,10005,1960,0
551000,3,2.5,3,9,2500,5788,2001,0
496500,3,2.5,3,8,2350,3710,1994,0
705000,3,3,4,9,2280,75396,1980,1
578000,4,2.5,5,9,2460,9600,1966,0
255000,3,1.75,5,7,1490,8223,1986,0
1.05E+06,4,3.5,3,10,3220,8567,2007,0
348000,3,2.25,4,8,2400,8049,1989,0
230000,3,2,3,7,1570,3777,1985,0
359500,4,2.25,3,9,2480,11250,1988,0
330000,3,1,3,6,1220,7000,1953,0
80000,1,0.75,2,4,1200,7500,1912,0
465000,3,1.75,3,7,1480,6360,1954,0
325000,4,2.5,3,8,2100,7329,1997,0
340500,3,2,4,7,1770,14833,1947,0
342500,3,2.5,3,8,1810,6200,1993,0
290900,2,2,3,6,1310,12950,1930,0
868700,3,4.25,3,10,3230,7709,2000,0
1.20E+06,4,2.75,3,9,2820,8400,1928,0
1.15E+06,4,3.25,3,11,4300,11919,2000,0
859900,4,2.75,3,9,3390,7111,2011,0
520000,4,2.25,3,7,1580,3000,2003,0
460000,3,2.5,3,9,1610,4173,2005,0
438924,3,1.5,3,7,1770,5400,1949,0
315000,2,1,3,5,1420,6550,1918,0
590000,4,2.75,3,8,2920,10988,1975,0
378500,4,1.75,3,7,1620,9000,1955,0
328500,3,2.5,4,9,2350,7691,1990,0
849950,3,3,4,8,2230,11553,1973,0
525000,3,1.5,3,7,1730,6012,1950,0
1.39E+06,4,3.25,3,9,3850,181319,1993,0
295000,4,2.5,4,8,2060,8250,1978,0
1.07E+06,6,3.5,3,11,3600,11793,1998,0
207950,2,2,3,6,1860,5000,1917,0
699900,4,2.75,3,9,2820,7302,2002,0
1.28E+06,5,2.5,4,8,3080,11081,1977,0
452000,4,1.5,4,7,1560,7350,1963,0
370000,3,2,4,7,1680,4921,1987,0
232000,3,1.75,5,7,1300,10794,1968,0
669950,5,2.5,4,7,1910,10392,1960,0
397500,3,2,3,7,1660,6600,1972,0
490000,2,2.5,3,8,1240,1350,2004,0
725000,4,2,3,9,1440,4420,1925,0
299000,3,2.75,4,7,2424,12410,1958,0
625000,2,1.5,4,7,1590,4025,1900,0
437500,3,2.5,3,7,2530,4816,2000,0
650000,4,2.5,3,9,3030,5335,2003,0
475000,2,1,3,7,1460,3825,1929,0
342000,3,2,4,8,2200,12825,1966,0
1.20E+06,4,2.5,3,10,2720,10000,1999,0
280000,3,1.5,4,7,1930,10200,1963,0
240000,2,1.75,3,7,1450,11682,1993,0
529000,3,1,4,7,1640,3333,1924,0
442000,3,1,4,7,1690,5100,1941,0
615000,2,1,4,7,1420,5538,1946,0
1.49E+06,4,3.75,3,10,2160,7200,2006,0
585000,4,1.75,4,8,1980,8750,1981,0
480000,4,2.5,3,8,2830,7787,2005,0
1.10E+06,5,3.5,4,9,2900,50529,1990,0
290000,4,1,3,7,1220,660,1949,0
615000,3,1.75,5,7,1770,5000,1951,0
300000,2,1,4,7,1460,7680,1950,0
308000,3,1,3,6,1860,11811,1932,0
750000,3,2.5,3,9,2080,8615,2001,0
2.25E+06,4,2.25,5,9,2950,9323,1916,0
890000,4,3.25,3,10,2200,178160,2005,0
288000,3,1,5,6,1190,7560,1958,0
190000,2,1,3,6,1470,6840,1943,0
515000,5,3,3,8,2290,4011,2005,0
235000,4,1.5,4,5,1690,9040,1930,0
275000,2,1,3,6,940,5000,1951,0
727500,2,2,4,7,1380,9121,1952,0
650000,4,2.5,3,7,2740,6587,2003,0
1.60E+06,6,5,3,11,4210,233971,2001,0
365000,4,1,3,6,1320,7085,1944,0
662000,3,1.75,3,9,2590,28837,1984,0
270500,3,2.5,3,7,1680,7848,1978,0
200000,2,1.5,3,7,1360,1898,1978,0
970000,4,3.25,3,10,3340,49206,1987,0
160000,3,1.5,4,7,1400,9660,1962,0
204000,3,1,4,6,1580,7405,1971,0
358000,3,2.25,4,7,1780,7529,1985,0
452000,4,1.75,3,7,1870,8190,1979,0
595000,2,2,4,7,1920,4000,1900,0
249000,3,2,3,7,1360,6987,1994,0
346900,4,2.5,3,8,2230,5109,1999,0
2.13E+06,3,2.5,4,12,3980,104374,1976,1
280000,4,2.5,3,7,1560,4350,2003,0
318888,4,1.75,4,8,2120,9880,1973,0
530000,3,2.25,3,8,2480,13492,1967,0
375000,3,2.25,4,8,2120,14479,1983,0
910000,4,2.5,3,11,3920,24728,1988,0
782000,4,2.5,4,10,2560,9770,1991,0
259950,2,2,3,9,1070,928,2008,0
315000,4,2.75,4,7,1870,9588,1979,0
215000,2,1,4,6,1190,6490,1943,0
705000,3,1.75,4,7,2180,8535,1946,0
1.45E+06,3,3,5,10,3080,7680,1952,0
451000,3,1.75,3,7,1520,10125,1949,0
261000,2,1,4,6,1340,8750,1943,0
396000,3,1.5,5,7,1570,8692,1956,0
725000,4,2.5,3,9,3715,29170,1999,0
1.95E+06,7,3.5,3,11,3230,20697,1965,0
238000,4,1,3,7,1310,7314,1959,0
750000,6,1.75,4,8,2040,9563,1973,0
331500,4,2.5,3,7,2050,8103,1998,0
460000,4,3,3,7,1960,65340,1978,0
404950,4,2.25,4,8,2340,107898,1982,0
880000,3,2.5,3,9,1630,7995,2014,0
863000,4,2.5,3,10,3180,7257,1997,0
638700,3,1.75,3,7,1870,8944,1960,0
435000,3,2.5,3,7,1600,4697,2008,0
260000,3,1,4,6,1490,5350,1959,0
671500,5,2.75,5,7,2040,4000,1927,0
610000,3,1,3,8,1440,3400,1907,0
405000,2,0.75,4,6,1870,25346,1937,0
338900,4,2.5,3,7,1830,5998,2003,0
720000,4,4,3,10,3480,7944,2004,0
442000,5,3,4,7,1080,5445,1927,0
650000,5,2.75,5,8,1590,3840,1902,0
263500,3,1.75,3,7,1330,9081,1981,0
300000,2,1,4,7,2010,98010,1963,0
266000,3,2.5,3,7,2095,3402,2009,0
930000,4,4,3,9,2700,199504,2009,0
530000,4,2.5,3,8,2450,5471,2004,0
180000,3,1,4,6,1000,8470,1965,0
619000,3,2.5,3,9,3180,7320,2005,0
264000,3,1.5,4,7,1380,8976,1962,0
730000,2,2.25,4,7,2130,4920,1941,0
439000,4,2.25,3,7,2060,8155,1975,0
268500,4,1.75,4,7,1500,7260,1981,0
330000,3,1.75,3,7,1470,15744,1985,0
640000,3,2.5,3,8,2160,5120,1903,0
900000,3,2.5,4,11,3030,12835,1978,0
370000,3,2.25,4,8,2470,14000,1985,0
